Part Number,Description,Cost
ATRF1554-55P-12-13-48,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 1'",1.215
ATRF1554-55P-12-13-72,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 1'-6""",1.8225
ATRF1554-55P-12-13-96,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 2'",2.43
ATRF1554-55P-12-13-120,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 2'-6""",3.0375
ATRF1554-55P-12-13-144,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 3'",3.645
ATRF1554-55P-12-13-168,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 3'-6""",4.2525
ATRF1554-55P-12-13-192,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 4'",4.86
ATRF1554-55P-12-13-216,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 4'-6""",5.4675
ATRF1554-55P-12-13-240,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 5'",6.075
ATRF1554-55P-12-13-264,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 5'-6""",6.6825
ATRF1554-55P-12-13-288,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1/2""-13 x 6'",7.29
ATRF1554-55P-58-11-48,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 1'",1.269
ATRF1554-55P-58-11-72,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 1'-6""",1.9035
ATRF1554-55P-58-11-96,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 2'",2.538
ATRF1554-55P-58-11-120,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 2'-6""",3.1725
ATRF1554-55P-58-11-144,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 3'",3.807
ATRF1554-55P-58-11-168,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 3'-6""",4.4415
ATRF1554-55P-58-11-192,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 4'",5.076
ATRF1554-55P-58-11-216,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 4'-6""",5.7105
ATRF1554-55P-58-11-240,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 5'",6.345
ATRF1554-55P-58-11-264,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 5'-6""",6.9795
ATRF1554-55P-58-11-288,"ASTM F1554-Grade 55 Plain All Threaded Rod - 5/8""-11 x 6'",7.614
ATRF1554-55P-34-10-48,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 1'",1.90608
ATRF1554-55P-34-10-72,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 1'-6""",2.85912
ATRF1554-55P-34-10-96,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 2'",3.81216
ATRF1554-55P-34-10-120,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 2'-6""",4.7652
ATRF1554-55P-34-10-144,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 3'",5.71824
ATRF1554-55P-34-10-168,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 3'-6""",6.67128
ATRF1554-55P-34-10-192,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 4'",7.62432
ATRF1554-55P-34-10-216,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 4'-6""",8.57736
ATRF1554-55P-34-10-240,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 5'",9.5304
ATRF1554-55P-34-10-264,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 5'-6""",10.48344
ATRF1554-55P-34-10-288,"ASTM F1554-Grade 55 Plain All Threaded Rod - 3/4""-10 x 6'",11.43648
